Chargeback Reference Number,Transaction Date,Filing Date,Settlement Date,Issuer Bank,Merchant Name,Merchant Category,Transaction Amount,Currency,Reason Code,Chargeback Stage,Status,Analyst,SLA Met,Days to File,Days to Resolve,Resolution Channel,Merchant Risk Score,Transaction Type,Card Type,Customer Segment,Fraudulent Transaction,Fraud Type,Case Urgency,Cardholder Country
CBR761701,2024-01-02,2024-02-04,2024-01-29,AmBank,Setel,Transport,1764.8,SGD,R101 Unauthorized Transaction,Pre-Arbitration,Manual Review Required,Shazlin Suhaime,Yes,33,6,Issuer Portal,45,POS,Prepaid,Premium,Yes,Account Takeover,High,Malaysia
CBR885290,2024-08-21,2024-09-28,2024-09-02,HSBC,GrabFood,Food & Beverage,470.18,BDT,R108 Credit Not Processed,First Chargeback,Merchant Refunded,Shazlin Suhaime,Yes,38,26,In-House Review,64,Wallet,Prepaid,Business,No,-,Medium,Malaysia
CBR766738,2023-07-12,2023-10-09,2023-07-25,Standard Chartered,KFC,Food & Beverage,952.28,THB,R112 Billing Issue,First Chargeback,Merchant Refunded,Akmal Danial,No,89,76,Manual Investigation,39,Wallet,Credit,Regular,No,-,Low,Philippines
CBR691380,2023-01-24,2023-03-09,2023-02-04,Bank Islam,KFC,Food & Beverage,1939.62,AUD,R115 Payment Method Error,Arbitration,Lost,Nadiah Saat,Yes,44,33,Manual Investigation,88,Wallet,Credit,Business,No,-,Medium,Malaysia
CBR556106,2025-06-28,2025-08-10,2025-07-08,UOB,Watsons,Retail,300.87,CNY,R112 Billing Issue,First Chargeback,Under Review,Akmal Danial,Yes,43,33,Automated Dispute System,70,POS,Credit,Regular,No,-,Medium,Malaysia
CBR648887,2025-09-09,2025-11-23,2025-09-18,Bank Islam,Mydin,Grocery,1881.35,SGD,R104 Duplicate Charge,Arbitration,Arbitration Closed,Akmal Danial,No,75,66,Issuer Portal,63,QR,Credit,Business,No,-,Medium,Malaysia
CBR770864,2023-01-23,2023-03-27,2023-02-20,Standard Chartered,Starbucks,Food & Beverage,195.68,AED,R102 Services Not Received,First Chargeback,Under Review,Nadiah Saat,Yes,63,35,Merchant Coordination,58,Wallet,Credit,Business,No,-,Low,Thailand
CBR770593,2024-12-31,2025-02-17,2025-01-26,OCBC,Spotify,Subscription,84.89,JPY,R115 Payment Method Error,First Chargeback,Merchant Refunded,Nadiah Saat,Yes,48,22,Issuer Portal,64,Wallet,Debit,Business,No,-,Medium,Thailand
CBR659713,2024-02-13,2024-05-03,2024-03-12,Public Bank,GrabFood,Food & Beverage,815.69,AED,R104 Duplicate Charge,Pre-Arbitration,Manual Review Required,Shazlin Suhaime,No,80,52,Manual Investigation,69,Wallet,Credit,Business,No,-,Medium,Thailand
CBR424703,2025-04-29,2025-06-13,2025-05-07,Maybank,Nike,Fashion,1147.49,BDT,R107 Late Settlement,Arbitration,Won,Shazlin Suhaime,Yes,45,37,Merchant Coordination,55,QR,Credit,Premium,No,-,Medium,India
CBR464032,2023-04-30,2023-07-28,2023-05-15,CIMB,Astro,Subscription,1734.26,IDR,R107 Late Settlement,Pre-Arbitration,Pending Arbitration,Nadiah Saat,No,89,74,Issuer Portal,61,Online,Credit,Business,No,-,Medium,United States
CBR605048,2025-10-07,2025-12-15,2025-10-29,Bank Islam,KFC,Food & Beverage,1263.03,JPY,R115 Payment Method Error,First Chargeback,Won,Akmal Danial,No,69,47,Issuer Portal,65,QR,Credit,Premium,No,-,Medium,Thailand
CBR665883,2023-11-26,2024-02-09,2023-12-03,RHB,Tesco,Grocery,419.96,CAD,R102 Services Not Received,Pre-Arbitration,Lost,Shazlin Suhaime,No,75,68,Manual Investigation,32,Online,Credit,Regular,No,-,Low,Malaysia
CBR338161,2023-09-17,2023-12-18,2023-10-03,CIMB,AEON,Grocery,463.46,SGD,R107 Late Settlement,Pre-Arbitration,Merchant Refunded,Nadiah Saat,No,92,76,In-House Review,56,Subscription,Debit,Premium,No,-,Low,Thailand
CBR943797,2025-05-23,2025-07-05,2025-06-17,Public Bank,Agoda,Travel,859.96,THB,R112 Billing Issue,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,Yes,43,18,Automated Dispute System,45,POS,Credit,Business,No,-,Low,Australia
CBR193904,2024-12-14,2025-03-23,2024-12-23,HSBC,Klook,Travel,151.96,USD,R115 Payment Method Error,First Chargeback,Additional Info Requested,Shazlin Suhaime,No,99,90,Manual Investigation,74,QR,Debit,Premium,No,-,Medium,South Korea
CBR563324,2025-10-12,2025-12-06,2025-10-30,CIMB,TNG eWallet,Transport,411.25,MYR,R114 Failed Delivery,First Chargeback,Additional Info Requested,Akmal Danial,Yes,55,37,Manual Investigation,61,QR,Debit,Regular,No,-,Medium,Philippines
CBR422823,2025-11-20,2026-01-02,2025-12-15,Standard Chartered,Booking.com,Travel,541.0,HKD,R107 Late Settlement,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,Yes,43,18,Merchant Coordination,61,Subscription,Prepaid,Regular,No,-,Medium,Singapore
CBR483551,2025-12-12,2026-01-01,2025-12-28,Maybank,PG Mall,E-commerce,1959.01,AED,R101 Unauthorized Transaction,First Chargeback,Won,Nadiah Saat,Yes,20,4,Merchant Coordination,33,QR,Debit,Premium,Yes,Account Takeover,High,Singapore
CBR532227,2025-08-09,2025-10-14,2025-08-25,Standard Chartered,Popular,Retail,605.88,IDR,R105 Cancelled Subscription,Arbitration,Arbitration Closed,Nadiah Saat,No,66,50,Manual Investigation,46,POS,Credit,Premium,No,-,Low,Australia
CBR372427,2025-08-05,2025-09-08,2025-08-16,Public Bank,Digi,Telecom,1533.46,CHF,R110 Customer Dispute,Arbitration,Arbitration Closed,Nadiah Saat,Yes,34,23,Merchant Coordination,74,Wallet,Credit,Business,No,-,Medium,Thailand
CBR263281,2023-03-12,2023-03-27,2023-03-20,Public Bank,Zalora,E-commerce,1426.91,EUR,R113 Unauthorized Recurring Charge,Pre-Arbitration,Lost,Nadiah Saat,Yes,15,7,Merchant Coordination,52,Wallet,Credit,Business,Yes,Friendly Fraud,High,Indonesia
CBR418319,2023-06-05,2023-08-14,2023-06-24,Maybank,Celcom,Telecom,217.55,PHP,R110 Customer Dispute,First Chargeback,Under Review,Akmal Danial,No,70,51,Merchant Coordination,50,Online,Prepaid,Regular,No,-,Low,Malaysia
CBR111068,2025-09-24,2025-10-25,2025-10-13,UOB,GrabFood,Food & Beverage,401.03,CHF,R104 Duplicate Charge,Pre-Arbitration,Won,Nadiah Saat,Yes,31,12,Issuer Portal,46,Wallet,Credit,Regular,No,-,Low,Thailand
CBR100096,2025-05-07,2025-07-03,2025-05-16,HSBC,Boost Juice,Food & Beverage,158.57,THB,R105 Cancelled Subscription,Arbitration,Arbitration Filed,Shazlin Suhaime,No,57,48,In-House Review,68,Wallet,Debit,Regular,No,-,Medium,Malaysia
CBR648736,2023-07-26,2023-10-10,2023-08-07,UOB,Mydin,Grocery,1503.08,CHF,R103 Goods Not as Described,First Chargeback,Won,Nadiah Saat,No,76,64,Issuer Portal,42,Wallet,Prepaid,Regular,No,-,Medium,Thailand
CBR954987,2024-02-13,2024-05-05,2024-03-07,HSBC,Jaya Grocer,Grocery,615.17,CNY,R103 Goods Not as Described,Arbitration,Lost,Shazlin Suhaime,No,82,59,Automated Dispute System,62,Online,Prepaid,Regular,No,-,Medium,Malaysia
CBR895128,2024-02-08,2024-04-05,2024-02-25,HSBC,Celcom,Telecom,1849.57,CHF,R106 Incorrect Amount,First Chargeback,Submitted,Shazlin Suhaime,Yes,57,40,Issuer Portal,64,POS,Credit,Premium,No,-,Medium,Hong Kong
CBR989136,2024-10-08,2024-11-27,2024-10-22,Public Bank,Viu,Entertainment,1850.9,SGD,R102 Services Not Received,Arbitration,Arbitration Closed,Akmal Danial,Yes,50,36,Manual Investigation,61,Subscription,Prepaid,Premium,No,-,Medium,Japan
CBR242921,2025-11-20,2026-03-08,2025-12-13,Public Bank,MAXIS,Telecom,1780.06,INR,R106 Incorrect Amount,First Chargeback,Merchant Refunded,Akmal Danial,No,108,85,Automated Dispute System,39,QR,Debit,Business,No,-,Medium,Thailand
CBR460589,2023-09-21,2023-12-14,2023-10-14,RHB,AEON,Grocery,531.06,INR,R114 Failed Delivery,First Chargeback,Additional Info Requested,Nadiah Saat,No,84,61,In-House Review,54,Subscription,Debit,Business,Yes,Friendly Fraud,High,Malaysia
CBR400692,2023-02-19,2023-04-16,2023-03-21,AmBank,Tealive,Food & Beverage,254.63,INR,R101 Unauthorized Transaction,First Chargeback,Under Review,Shazlin Suhaime,Yes,56,26,Merchant Coordination,62,Wallet,Credit,Business,Yes,Stolen Card,Medium,Thailand
CBR591989,2024-10-26,2024-12-01,2024-11-10,Public Bank,Apple Music,Subscription,1923.37,SGD,R110 Customer Dispute,First Chargeback,Timed Out,Akmal Danial,Yes,36,21,Issuer Portal,71,Subscription,Credit,Business,Yes,Account Takeover,High,Malaysia
CBR661091,2023-07-24,2023-09-07,2023-08-18,CIMB,Netflix,Entertainment,1783.46,CAD,R112 Billing Issue,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,Yes,45,20,Merchant Coordination,39,Wallet,Prepaid,Regular,No,-,Medium,Malaysia
CBR108721,2024-07-31,2024-09-26,2024-08-18,Standard Chartered,Klook,Travel,537.54,ZAR,R108 Credit Not Processed,First Chargeback,Merchant Refunded,Nadiah Saat,Yes,57,39,Merchant Coordination,58,POS,Prepaid,Regular,No,-,Low,Malaysia
CBR821179,2025-05-01,2025-06-28,2025-05-20,HSBC,AliExpress,E-commerce,1717.63,BDT,R114 Failed Delivery,First Chargeback,Timed Out,Akmal Danial,Yes,58,39,Manual Investigation,73,Online,Prepaid,Business,No,-,Medium,Singapore
CBR615827,2023-12-20,2024-01-29,2024-01-11,RHB,Lazada,E-commerce,774.01,MYR,R106 Incorrect Amount,First Chargeback,Merchant Refunded,Akmal Danial,Yes,40,18,In-House Review,66,POS,Debit,Business,No,-,Medium,United States
CBR892170,2023-02-27,2023-03-28,2023-03-21,UOB,Watsons,Retail,441.9,INR,R110 Customer Dispute,Pre-Arbitration,Merchant Refunded,Shazlin Suhaime,Yes,29,7,In-House Review,77,Subscription,Credit,Premium,Yes,Account Takeover,Medium,Malaysia
CBR600241,2025-05-08,2025-08-23,2025-05-30,OCBC,KFC,Food & Beverage,137.24,IDR,R111 Technical Error,Arbitration,Lost,Shazlin Suhaime,No,107,85,Issuer Portal,85,QR,Credit,Regular,No,-,Medium,Singapore
CBR414164,2025-07-30,2025-09-03,2025-08-20,AmBank,IKEA,Retail,841.53,EUR,R101 Unauthorized Transaction,Arbitration,Won,Akmal Danial,Yes,35,14,Merchant Coordination,80,Subscription,Credit,Business,Yes,Stolen Card,High,Malaysia
CBR109576,2025-07-07,2025-08-30,2025-08-06,AmBank,GrabFood,Food & Beverage,1631.75,CAD,R109 Fraudulent Activity,First Chargeback,Under Review,Akmal Danial,Yes,54,24,Issuer Portal,69,Online,Debit,Premium,Yes,Stolen Card,High,Malaysia
CBR903072,2025-11-10,2025-12-16,2025-12-08,Bank Islam,Mydin,Grocery,823.84,HKD,R107 Late Settlement,First Chargeback,Submitted,Akmal Danial,Yes,36,8,In-House Review,31,POS,Credit,Regular,No,-,Low,Thailand
CBR551344,2025-08-13,2025-11-13,2025-09-05,Standard Chartered,Amazon,E-commerce,1576.41,ZAR,R112 Billing Issue,Pre-Arbitration,Lost,Akmal Danial,No,92,69,Manual Investigation,57,Subscription,Prepaid,Premium,No,-,Medium,Singapore
CBR936726,2023-08-14,2023-09-15,2023-09-04,Public Bank,Booking.com,Travel,571.44,EUR,R101 Unauthorized Transaction,First Chargeback,Timed Out,Shazlin Suhaime,Yes,32,11,Manual Investigation,64,Wallet,Credit,Business,Yes,Stolen Card,High,Malaysia
CBR407151,2023-03-29,2023-05-22,2023-04-26,RHB,Domino,Food & Beverage,449.82,EUR,R109 Fraudulent Activity,First Chargeback,Under Review,Akmal Danial,Yes,54,26,Issuer Portal,52,QR,Credit,Premium,Yes,Phishing,Low,Thailand
CBR726003,2024-05-22,2024-08-08,2024-06-21,Standard Chartered,foodpanda,Food & Beverage,1240.32,AED,R103 Goods Not as Described,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,No,78,48,Manual Investigation,43,Online,Prepaid,Premium,No,-,Medium,Singapore
CBR342446,2024-12-16,2025-03-20,2025-01-10,UOB,Charles & Keith,Fashion,274.2,AED,R103 Goods Not as Described,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,No,94,69,Automated Dispute System,36,Wallet,Credit,Premium,No,-,Low,Malaysia
CBR935471,2023-03-11,2023-06-26,2023-04-02,RHB,foodpanda,Food & Beverage,1356.83,GBP,R102 Services Not Received,Arbitration,Lost,Shazlin Suhaime,No,107,85,In-House Review,79,Online,Prepaid,Business,No,-,Medium,Malaysia
CBR107568,2024-07-02,2024-09-30,2024-07-12,Maybank,Boost Juice,Food & Beverage,337.5,INR,R115 Payment Method Error,First Chargeback,Additional Info Requested,Shazlin Suhaime,No,90,80,Automated Dispute System,41,QR,Prepaid,Premium,No,-,Low,Malaysia
CBR674842,2025-03-21,2025-06-26,2025-04-10,CIMB,Uniqlo,Fashion,908.46,EUR,R102 Services Not Received,First Chargeback,Under Review,Nadiah Saat,No,97,77,Issuer Portal,30,POS,Credit,Regular,No,-,Low,Philippines
CBR491794,2024-11-27,2025-01-17,2024-12-09,HSBC,TNG eWallet,Transport,1977.81,CAD,R110 Customer Dispute,First Chargeback,Won,Nadiah Saat,Yes,51,39,In-House Review,66,Subscription,Debit,Premium,No,-,Medium,Hong Kong
CBR297731,2024-07-03,2024-08-10,2024-07-13,RHB,PG Mall,E-commerce,1079.51,JPY,R107 Late Settlement,First Chargeback,Won,Akmal Danial,Yes,38,28,In-House Review,65,Online,Debit,Regular,No,-,Medium,Malaysia
CBR531736,2024-06-21,2024-09-12,2024-07-20,OCBC,Starbucks,Food & Beverage,1096.88,NZD,R112 Billing Issue,First Chargeback,Lost,Akmal Danial,No,83,54,Issuer Portal,33,POS,Prepaid,Premium,No,-,Medium,Australia
CBR687783,2024-05-15,2024-06-24,2024-06-10,OCBC,AirAsia,Travel,231.72,NZD,R113 Unauthorized Recurring Charge,First Chargeback,Won,Nadiah Saat,Yes,40,14,In-House Review,51,Subscription,Credit,Business,Yes,Friendly Fraud,Low,Australia
CBR558339,2023-12-14,2024-01-20,2024-01-09,Public Bank,IKEA,Retail,1998.88,IDR,R115 Payment Method Error,Arbitration,Lost,Nadiah Saat,Yes,37,11,Issuer Portal,33,POS,Debit,Regular,No,-,Medium,Singapore
CBR513927,2024-02-08,2024-03-14,2024-02-22,UOB,Astro,Subscription,776.79,CHF,R108 Credit Not Processed,First Chargeback,Won,Nadiah Saat,Yes,35,21,Merchant Coordination,89,Online,Debit,Regular,No,-,Medium,Malaysia
CBR362035,2025-01-19,2025-03-27,2025-02-14,Standard Chartered,GrabFood,Food & Beverage,1021.53,AED,R115 Payment Method Error,Arbitration,Arbitration Closed,Nadiah Saat,Yes,67,41,Automated Dispute System,66,POS,Prepaid,Regular,No,-,Medium,Thailand
CBR271200,2025-02-11,2025-04-24,2025-03-07,HSBC,Traveloka,Travel,422.57,PHP,R108 Credit Not Processed,Arbitration,Arbitration Closed,Nadiah Saat,No,72,48,Issuer Portal,85,Subscription,Debit,Premium,No,-,Medium,United States
CBR849666,2024-06-17,2024-10-04,2024-07-14,CIMB,Apple Music,Subscription,727.07,SGD,R104 Duplicate Charge,Arbitration,Arbitration Filed,Shazlin Suhaime,No,109,82,Issuer Portal,78,POS,Prepaid,Regular,No,-,Medium,Malaysia
CBR872924,2023-10-17,2024-01-02,2023-11-06,Standard Chartered,Secret Recipe,Food & Beverage,608.93,IDR,R112 Billing Issue,Arbitration,Won,Nadiah Saat,No,77,57,In-House Review,53,Wallet,Credit,Premium,No,-,Low,Malaysia
CBR777370,2024-03-08,2024-06-01,2024-03-31,Maybank,Mydin,Grocery,1461.09,EUR,R103 Goods Not as Described,First Chargeback,Won,Akmal Danial,No,85,62,Manual Investigation,38,QR,Prepaid,Premium,No,-,Medium,Malaysia
CBR508654,2025-09-20,2025-11-04,2025-10-03,RHB,Uniqlo,Fashion,1413.2,IDR,R106 Incorrect Amount,Arbitration,Arbitration Filed,Shazlin Suhaime,Yes,45,32,Manual Investigation,82,QR,Prepaid,Premium,No,-,Medium,Malaysia
CBR968668,2024-09-22,2024-10-13,2024-10-06,UOB,YouTube Premium,Subscription,1299.58,AED,R105 Cancelled Subscription,Arbitration,Lost,Nadiah Saat,Yes,21,7,Merchant Coordination,65,Wallet,Debit,Regular,No,-,Medium,Vietnam
CBR496737,2023-02-09,2023-05-29,2023-03-11,Maybank,McDonald,Food & Beverage,271.26,USD,R108 Credit Not Processed,First Chargeback,Submitted,Akmal Danial,No,109,79,Issuer Portal,43,Online,Prepaid,Business,No,-,Low,Thailand
CBR331307,2023-08-25,2023-10-03,2023-09-18,UOB,GrabFood,Food & Beverage,138.21,AUD,R101 Unauthorized Transaction,Pre-Arbitration,Manual Review Required,Akmal Danial,Yes,39,15,In-House Review,61,Wallet,Prepaid,Business,Yes,Account Takeover,Medium,Malaysia
CBR375754,2023-08-08,2023-09-20,2023-08-28,HSBC,Malaysia Airlines,Travel,496.25,PHP,R110 Customer Dispute,Pre-Arbitration,Pending Arbitration,Akmal Danial,Yes,43,23,In-House Review,54,QR,Credit,Regular,No,-,Low,Malaysia
CBR183057,2025-07-20,2025-09-13,2025-07-31,Maybank,Astro,Subscription,488.72,GBP,R111 Technical Error,First Chargeback,Won,Shazlin Suhaime,Yes,55,44,Automated Dispute System,58,POS,Debit,Premium,Yes,Synthetic Identity,Low,Australia
CBR542750,2024-03-03,2024-03-20,2024-03-15,AmBank,Lazada,E-commerce,587.14,JPY,R101 Unauthorized Transaction,Arbitration,Arbitration Closed,Nadiah Saat,Yes,17,5,Automated Dispute System,38,QR,Prepaid,Premium,Yes,Stolen Card,High,Australia
CBR755698,2023-11-27,2023-12-21,2023-12-12,CIMB,Amazon,E-commerce,582.37,NZD,R109 Fraudulent Activity,First Chargeback,Lost,Shazlin Suhaime,Yes,24,9,Automated Dispute System,51,Wallet,Debit,Business,Yes,Friendly Fraud,High,Australia
CBR351198,2025-08-16,2025-09-22,2025-08-25,UOB,Agoda,Travel,1081.41,GBP,R114 Failed Delivery,First Chargeback,Won,Nadiah Saat,Yes,37,28,Merchant Coordination,34,Wallet,Prepaid,Regular,No,-,Medium,Vietnam
CBR641704,2024-09-08,2024-11-29,2024-09-25,CIMB,Lazada,E-commerce,1239.71,AED,R115 Payment Method Error,First Chargeback,Won,Nadiah Saat,No,82,65,In-House Review,69,Wallet,Credit,Premium,No,-,Medium,India
CBR901676,2025-10-06,2025-12-18,2025-10-20,Public Bank,Amazon,E-commerce,867.59,CHF,R112 Billing Issue,Arbitration,Arbitration Filed,Nadiah Saat,No,73,59,Automated Dispute System,49,Wallet,Debit,Business,No,-,Low,Malaysia
CBR938817,2024-02-08,2024-04-09,2024-02-17,Maybank,Mydin,Grocery,1295.47,NZD,R108 Credit Not Processed,Arbitration,Won,Shazlin Suhaime,No,61,52,Issuer Portal,43,Subscription,Prepaid,Business,No,-,Medium,Malaysia
CBR743003,2024-08-17,2024-09-25,2024-08-27,HSBC,FamilyMart,Grocery,813.3,PHP,R112 Billing Issue,Arbitration,Arbitration Closed,Akmal Danial,Yes,39,29,Manual Investigation,37,Wallet,Debit,Premium,No,-,Low,Philippines
CBR946803,2023-05-25,2023-07-29,2023-06-07,AmBank,Adidas,Fashion,1537.56,IDR,R112 Billing Issue,First Chargeback,Won,Nadiah Saat,No,65,52,Merchant Coordination,43,QR,Debit,Premium,No,-,Medium,Singapore
CBR827632,2023-04-01,2023-07-03,2023-04-16,AmBank,AirAsia,Travel,546.31,MYR,R103 Goods Not as Described,Pre-Arbitration,Lost,Akmal Danial,No,93,78,Automated Dispute System,46,QR,Debit,Regular,No,-,Low,Japan
CBR817897,2024-04-24,2024-08-19,2024-05-22,Standard Chartered,Traveloka,Travel,293.66,CHF,R102 Services Not Received,First Chargeback,Won,Shazlin Suhaime,No,117,89,Merchant Coordination,52,POS,Prepaid,Regular,No,-,Low,Malaysia
CBR385071,2024-01-15,2024-02-29,2024-02-01,HSBC,Traveloka,Travel,359.87,MYR,R109 Fraudulent Activity,First Chargeback,Won,Nadiah Saat,Yes,45,28,In-House Review,38,POS,Credit,Premium,Yes,Stolen Card,Low,Malaysia
CBR398505,2024-09-22,2024-10-30,2024-09-30,Standard Chartered,Qoo10,E-commerce,1194.97,USD,R108 Credit Not Processed,Pre-Arbitration,Pre-Arbitration Submitted,Shazlin Suhaime,Yes,38,30,Automated Dispute System,82,Online,Debit,Regular,No,-,Medium,Malaysia
CBR779956,2024-05-17,2024-07-07,2024-06-12,Maybank,YouTube Premium,Subscription,8.45,KRW,R110 Customer Dispute,Pre-Arbitration,Pre-Arbitration Submitted,Akmal Danial,Yes,51,25,Merchant Coordination,84,QR,Debit,Premium,No,-,Medium,Indonesia
CBR879015,2024-11-01,2024-12-15,2024-11-12,OCBC,Tealive,Food & Beverage,1447.85,AUD,R111 Technical Error,First Chargeback,Under Review,Shazlin Suhaime,Yes,44,33,Manual Investigation,45,Online,Debit,Premium,No,-,Medium,United Kingdom
CBR657783,2024-04-04,2024-04-29,2024-04-27,Public Bank,MR.DIY,Retail,1180.69,INR,R101 Unauthorized Transaction,Pre-Arbitration,Pre-Arbitration Submitted,Akmal Danial,Yes,25,2,Automated Dispute System,70,QR,Prepaid,Premium,Yes,Account Takeover,High,Malaysia
CBR948097,2024-05-19,2024-07-21,2024-06-15,CIMB,Tesco,Grocery,888.58,USD,R114 Failed Delivery,First Chargeback,Submitted,Shazlin Suhaime,Yes,63,36,Issuer Portal,77,POS,Prepaid,Premium,No,-,Medium,Singapore
CBR381880,2024-03-17,2024-06-02,2024-03-28,OCBC,Starbucks,Food & Beverage,1267.79,CHF,R103 Goods Not as Described,Pre-Arbitration,Lost,Nadiah Saat,No,77,66,Merchant Coordination,87,QR,Debit,Business,No,-,Medium,Indonesia
CBR532961,2025-05-18,2025-06-14,2025-06-03,RHB,Lazada,E-commerce,1073.78,AUD,R103 Goods Not as Described,Pre-Arbitration,Manual Review Required,Akmal Danial,Yes,27,11,Issuer Portal,36,QR,Credit,Regular,No,-,Medium,Malaysia
CBR297132,2023-12-09,2023-12-29,2023-12-20,CIMB,Booking.com,Travel,707.02,BDT,R113 Unauthorized Recurring Charge,First Chargeback,Lost,Shazlin Suhaime,Yes,20,9,Automated Dispute System,47,POS,Prepaid,Business,Yes,Friendly Fraud,High,Malaysia
CBR994940,2024-02-17,2024-04-21,2024-03-14,OCBC,AliExpress,E-commerce,1975.64,IDR,R105 Cancelled Subscription,Arbitration,Won,Nadiah Saat,Yes,64,38,Manual Investigation,73,Subscription,Prepaid,Regular,No,-,Medium,Philippines
CBR171789,2023-07-13,2023-09-03,2023-07-29,Public Bank,Astro,Subscription,450.83,IDR,R105 Cancelled Subscription,First Chargeback,Won,Shazlin Suhaime,Yes,52,36,Automated Dispute System,34,POS,Debit,Premium,No,-,Low,Malaysia
CBR291267,2023-09-10,2023-10-28,2023-10-08,Bank Islam,Viu,Entertainment,1372.67,SGD,R113 Unauthorized Recurring Charge,First Chargeback,Lost,Akmal Danial,Yes,48,20,Issuer Portal,33,Subscription,Debit,Premium,Yes,Friendly Fraud,High,Indonesia
CBR243260,2024-11-27,2024-12-24,2024-12-15,Maybank,Uniqlo,Fashion,505.94,HKD,R101 Unauthorized Transaction,Pre-Arbitration,Lost,Nadiah Saat,Yes,27,9,Issuer Portal,65,POS,Credit,Premium,Yes,Account Takeover,High,Malaysia
CBR403662,2024-01-23,2024-03-20,2024-02-09,Maybank,Grab,Transport,298.92,HKD,R105 Cancelled Subscription,First Chargeback,Timed Out,Shazlin Suhaime,Yes,57,40,Issuer Portal,70,Online,Credit,Regular,No,-,Medium,Malaysia
CBR215717,2023-03-30,2023-07-03,2023-04-25,Bank Islam,Giant,Grocery,789.32,CNY,R110 Customer Dispute,First Chargeback,Additional Info Requested,Nadiah Saat,No,95,69,Issuer Portal,48,Online,Prepaid,Premium,No,-,Low,United States
CBR767830,2025-06-28,2025-09-28,2025-07-19,Bank Islam,Agoda,Travel,1164.49,AUD,R105 Cancelled Subscription,Arbitration,Arbitration Filed,Shazlin Suhaime,No,92,71,Manual Investigation,89,QR,Debit,Business,No,-,Medium,Malaysia
CBR577461,2024-07-07,2024-08-17,2024-07-14,AmBank,GrabFood,Food & Beverage,994.33,NZD,R115 Payment Method Error,First Chargeback,Withdrawn by Cardholder,Akmal Danial,Yes,41,34,Manual Investigation,83,Wallet,Credit,Regular,No,-,Medium,Singapore
CBR747736,2024-11-25,2024-12-24,2024-12-20,OCBC,GrabFood,Food & Beverage,235.38,THB,R101 Unauthorized Transaction,Pre-Arbitration,Manual Review Required,Akmal Danial,Yes,29,4,Automated Dispute System,41,Wallet,Prepaid,Business,Yes,Stolen Card,Low,Australia
CBR574760,2025-04-27,2025-06-02,2025-05-25,Maybank,KFC,Food & Beverage,1682.82,HKD,R102 Services Not Received,First Chargeback,Timed Out,Akmal Danial,Yes,36,8,Automated Dispute System,37,Wallet,Prepaid,Premium,No,-,Medium,Malaysia
CBR385353,2025-09-26,2025-11-19,2025-10-18,Public Bank,H&M,Fashion,548.52,HKD,R103 Goods Not as Described,First Chargeback,Won,Shazlin Suhaime,Yes,54,32,In-House Review,47,Wallet,Credit,Business,No,-,Low,Malaysia
CBR834498,2023-04-17,2023-07-19,2023-05-13,CIMB,TNG eWallet,Transport,1824.98,AED,R112 Billing Issue,First Chargeback,Merchant Refunded,Akmal Danial,No,93,67,Issuer Portal,52,QR,Prepaid,Premium,No,-,Medium,Malaysia
CBR753004,2023-03-18,2023-06-19,2023-03-27,UOB,Astro,Subscription,1239.26,HKD,R105 Cancelled Subscription,Pre-Arbitration,Won,Shazlin Suhaime,No,93,84,In-House Review,84,Subscription,Credit,Business,No,-,Medium,Philippines
CBR615895,2023-02-11,2023-05-12,2023-03-05,Bank Islam,Qoo10,E-commerce,21.68,SGD,R115 Payment Method Error,Pre-Arbitration,Won,Shazlin Suhaime,No,90,68,In-House Review,49,QR,Debit,Business,No,-,Low,Indonesia
CBR296911,2023-08-05,2023-09-02,2023-08-30,Standard Chartered,Charles & Keith,Fashion,363.13,SGD,R109 Fraudulent Activity,Arbitration,Won,Akmal Danial,Yes,28,3,Automated Dispute System,55,Wallet,Credit,Premium,Yes,Stolen Card,Low,Singapore
CBR436219,2023-08-01,2023-09-06,2023-08-11,OCBC,Qoo10,E-commerce,1594.78,IDR,R114 Failed Delivery,First Chargeback,Timed Out,Akmal Danial,Yes,36,26,In-House Review,64,POS,Prepaid,Premium,No,-,Medium,Malaysia
CBR120337,2023-12-22,2024-01-11,2023-12-30,CIMB,Econsave,Grocery,547.18,KRW,R108 Credit Not Processed,Pre-Arbitration,Merchant Refunded,Shazlin Suhaime,Yes,20,12,Issuer Portal,86,Wallet,Prepaid,Regular,No,-,Medium,Thailand
CBR259540,2023-11-23,2024-01-15,2023-12-09,Standard Chartered,Booking.com,Travel,1648.37,EUR,R114 Failed Delivery,Arbitration,Arbitration Filed,Akmal Danial,Yes,53,37,In-House Review,37,Online,Debit,Business,No,-,Medium,Japan
CBR152042,2025-05-29,2025-07-03,2025-06-17,RHB,Mydin,Grocery,1888.03,MYR,R101 Unauthorized Transaction,Pre-Arbitration,Won,Shazlin Suhaime,Yes,35,16,Automated Dispute System,88,QR,Debit,Premium,Yes,Stolen Card,High,Vietnam
